compound,zone,km_marker,developer,unit_type,area_sqm,total_price_egp,price_recency,pairing_confidence,source_url,notes
Mountain View Ras El Hekma,Ras El Hekma,200,Mountain View (DMG),chalet,125,1800000,2025,exact,https://www.nawy.com/blog/95621-mountain-view-ras-el-hekma-chalets-with-exclusive-prices/amp,entry-phase ground chalet
Mountain View Ras El Hekma,Ras El Hekma,200,Mountain View (DMG),chalet,132,2300000,2025,exact,https://www.nawy.com/blog/95621-mountain-view-ras-el-hekma-chalets-with-exclusive-prices/amp,ground chalet with garden
Mountain View Ras El Hekma,Ras El Hekma,200,Mountain View (DMG),twin_house,155,2400000,2025,exact,https://www.nawy.com/blog/95621-mountain-view-ras-el-hekma-chalets-with-exclusive-prices/amp,starting price entry phase
Hacienda Bay,Sidi Abdel Rahman,124,Palm Hills,chalet,115,3000000,2025,exact,https://sawahelmasr.com/compounds/hacienda-bay/,avg price incl. 200sqm garden
Hacienda Bay,Sidi Abdel Rahman,124,Palm Hills,twin_house,399,6000000,2025,low,https://sawahelmasr.com/compounds/hacienda-bay/,starting price likely non-min area
June Ras El Hekma,Ras El Hekma,193,SODIC,chalet,110,4050000,2025,exact,https://www.propertyfinder.eg/blog/en/best-compounds-in-north-coast/,SODIC premium positioning
Fouka Bay,Al Dabaa,211,Tatweer Misr,chalet,125,13500000,2025,exact,https://www.propertyfinder.eg/blog/en/best-compounds-in-north-coast/,prime beachfront listing
La Vista Bay East,Al Dabaa,204,La Vista Developments,chalet,150,17500000,2025,exact,https://shary.com.eg/en/projects/la-vista-bay-east-north-coast/,ultra-prime beachfront (2025 vintage)
La Vista Bay East,Al Dabaa,204,La Vista Developments,chalet,150,20000000,2026,exact,https://gprproperty.com/en/project/la-vista-north-coast/,same unit type 1yr later - appreciation check
La Vista Bay East,Al Dabaa,204,La Vista Developments,twin_house,220,44000000,2025,exact,https://shary.com.eg/en/projects/la-vista-bay-east-north-coast/,ultra-prime beachfront
La Vista Bay East,Al Dabaa,204,La Vista Developments,standalone_villa,400,160000000,2025,exact,https://shary.com.eg/en/projects/la-vista-bay-east-north-coast/,max price garden 400sqm
Marassi Santorini,Sidi Abdel Rahman,129,Emaar Misr,chalet,114,6453888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,2BR apartment/chalet
Marassi Santorini,Sidi Abdel Rahman,129,Emaar Misr,chalet,209,7502888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,3BR larger chalet same subphase
Marassi Lea,Sidi Abdel Rahman,129,Emaar Misr,chalet,108,6154888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,3BR chalet
Marassi Marina Views,Sidi Abdel Rahman,129,Emaar Misr,chalet,66,4365888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,1BR small view unit
Marassi Marina West,Sidi Abdel Rahman,129,Emaar Misr,chalet,109,5829888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,1-3BR unit
Marassi (2BR chalet),Sidi Abdel Rahman,129,Emaar Misr,chalet,144,14400000,2026,exact,https://realestate.eg/en/2864-chalet-for-sale-in-marassi-north-coast-from-144-meter,same compound 3yr later - appreciation check
Marassi Riva Golf,Sidi Abdel Rahman,129,Emaar Misr,standalone_villa,216,10000000,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,golf-course villa entry price
Marassi Skaia,Sidi Abdel Rahman,129,Emaar Misr,standalone_villa,147,7931888,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,duet villa/townhouse entry
Marassi Altea,Sidi Abdel Rahman,129,Emaar Misr,twin_house,146,7000000,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,duplex entry price
Marassi Altea,Sidi Abdel Rahman,129,Emaar Misr,standalone_villa,146,11000000,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,villa entry price same phase
Marassi Bay,Sidi Abdel Rahman,126,Emaar Misr,standalone_villa,610,34000000,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,low end of Marassi Bay range
Marassi Bay,Sidi Abdel Rahman,126,Emaar Misr,standalone_villa,700,100000000,2023,exact,https://flatandvilla.com/en/north-coast/marassi-north-coast/,high end of Marassi Bay range
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,100,2500000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,entry chalet
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,127,9590000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,3BR chalet low end
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,chalet,161,12310000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,3BR chalet high end
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,twin_house,165,5500000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,twin house type A
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,twin_house,200,6500000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,twin house type B
Telal North Coast,Sidi Abdel Rahman,129,Roya Developments,standalone_villa,280,10500000,2026,exact,https://flatandvilla.com/en/north-coast/telal-north-coast/,entry standalone villa
Silversands,Sidi Heneish,247,Ora Developers,standalone_villa,350,53000000,2026,exact,https://flatandvilla.com/en/north-coast/silversands-north-coast/,3rd row 2-floor villa
Silversands,Sidi Heneish,247,Ora Developers,standalone_villa,343,120000000,2026,exact,https://flatandvilla.com/en/north-coast/silversands-north-coast/,1st row beachfront villa
Silversands,Sidi Heneish,247,Ora Developers,standalone_villa,380,110000000,2026,exact,https://flatandvilla.com/en/north-coast/silversands-north-coast/,1st row beachfront villa alt
Silversands,Sidi Heneish,247,Ora Developers,standalone_villa,284,80000000,2026,exact,https://flatandvilla.com/en/north-coast/silversands-north-coast/,1st row beachfront villa smaller
